text_to_analyse,label
BLUEFACE SE BLOQUEA CON PANTALLA COLOR VERDE OTT. CARA AZUL BL (AZCE6) PANTALLA EN COLOR VERDE Y BLOQUEADO,1
"El equipo tiene problemas Problemas con los termostatos y el sat le ha indicado que puede ser los zocalos que hubo una serie con problemas._x000D_
Nos iban a enviar los zocalos de los termostato nuevos._x000D_
Son el modelo 5 UDS del Think monocromo y una unidad del blueface. TERMOSTATO BLUEFACE ECO 8Z BLANCO SOLO EN ZÓCALO",0
"El termostato Blueface ya no está encendido._x000D_
Después del reemplazo por otro el problema se solucionó. control remoto cara azul El termostato blueface ya no enciende",0
"PENSAR: PANTALLA QUE SE QUITA_x000D_
BLUEFACE: PANTALLA BLOQUEADA EN LA A DE AIRZONE TERMOSTATO THINK RADIO BLANC AIRZONE PIENSE: ECRAN DESPEGA AQUÍ",1
"PENSAR: PANTALLA QUE SE QUITA_x000D_
BLUEFACE: PANTALLA BLOQUEADA EN LA A DE AIRZONE TERMOSTATO BLUEFACE AIRZONE BLUEFACE: PANTALLA BLOQUEADA EN LA A DE AIRZONE",1
"NO FUNCIONA TERMOSTATO AZDI6BLUEFACE CB. _x000D_
ENVIAR UNO NUEVO TERMOSTATFO DIST INTELIC. BLUEFACE 32 Z BL NO FUNCIONA. ENVIAR UNO NUEVO",0
TERMOSTATO BLUEFACE CABLE BLANCO BLOQUEADO--HABLADO CON LUIS OLIVO DE AIRZONE MURCIA TERMOSTATO BLUEFACE CABLE BLANCO TERMOSTATO BLUEFACE CABLE BLANCO BLOQUEADO-,0
El termostato funcionaba perfectamente hasta que se apago y no ha vuelto a encender. TERMO INTELIGENTE BLUEFACE 8Z BL. El termostato funcionaba perfectamente hasta que se apagó y no ha vuelto a encender.,0
Uno de los mandos blueface tiene mal la iluminación Termostato de zona Blueface La iluminación de la pantalla está mal,1
"DEVOLUCION DEL MATERIAL DE TODAS LAS GARANTIAS GESTIONADAS. OJO NO MANDAR MATERIAL !!!!!_x000D_
SOLO ES DEVOLUCION. CARA AZUL Termostato con raya  vertical en la pantalla.",1
termostato completamente apagado no más visualización TERMOSTATO CARA AZUL EL TERMOSTATO YA NO SE ENCIENDE,0
NO FUNCIONA EL TERMOSTATO. APARECE ERROR 1 DE COMUNICACIÓN. TERMOSTATO CAMBIO DE TERMOSTATO POR UNO NUEVO.,0
EN EL BLUEFACE SE HA QUEDADO LA MITAD IZQUIERDA DE LA PANTALLA NEGRA  LA MITAD IZQUIERDA DE LA PANTALLA SE HA QUEDADO NEGRA.,1
Mando a distancia AZCE6BLUEFACECB defectuoso.  Pantalla defectuosa.,1
"no funciona_x000D_
producto SA termostato THINK radio no funciona_x000D_
producto SA_x000D_
Cliente Eurotherm",0
"Blueface Blue Screen, control de voltaje en terminales + y 1 = 11,4 DC Mando a distancia BLUEFACE Vista de pantalla azul con Jérôme",1
"THINK C SE ILUMINA PERO NO CAMBIA DE PANTALLA TTO. PIENSA EN CABLE BL SE RETROILUMINA PERO NO CAMBIA DE PANTALLA. ENVIAR POR DHL, YA QUE TYPSA TARDA 10 DIAS Y TENEMOS VIAJE A MALAGA LA PROXIMA SEMANA",1
EL TERMOSTATO SE QUEDA EN BLANCO INCIDENCIA Nº13117 TERMOSTATO CABLE INTELIGENTE BLUEFACE BL 32Z EL TERMOSTATO SE HA QUEDADO EN BLANCO,0
"EL TERMOSTATO DA CHISPAZO AL TOCARLO Y SE RESETEA, HABLADO CON FRAN GARCÍA. TERMOSTATO BLUEFACE BLANCO CENTRALIZADO 1 UNIDAD.",0
 TERMOSTATO CARA AZUL NEGRO PROBLEMA TERMOSTATO,0
"No funciona. Se queda la pantalla iluminada, pero en blanco. TERMOSTATO BLUEFACE 8Z BL. No funciona, solicito devolución o reposición.",1
"No más visualización en el termostato apagado Termostato Termostato apagado, sustitución y puesta en marcha.",0
"LA PANTALLA NO RESPONDE, SOLO ENCIENDE Y APAGA OTT. CARA AZUL CB LA PANTALLA NO RESPONDE, SOLO ENCIENDE Y APAGA",1
"El termostato no carga la pantalla se queda pensando. _x000D_
OJO NO ENVIEIS REPOSICIÓN, YA LA HEMOS RECIBIDO EN ALB. 1/22000644 TTO. CB CARA AZUL RADIANTE El termostato no carga la pantalla se queda pensando. _x000D_
OJO NO ENVIEIS REPOSICIÓN, YA LA HEMOS RECIBIDO EN ALB. 1/22000644 !!!",0
"PANTALLA ROTA TERMOSTATO PANTALLA AVERIADA, NO FUNCIONA",1
"NO FUNCIONA, LLAMADA 12427 CABLE THINK 8Z MONOCROMO TTO. CENT. BLANCO NO FUNCIONA, LLAMADA 12427",0
MAL FUNCIONAMIENTO DE LA PANTALLA SIN BATERÍA PERMANECE EN LA PANTALLA TERMOSTATO AIRZONE PANTALLA BLOQUEADA,1
La pantalla se queda en blanco.  LA PANTALLA SE QUEDA EN BLANCO.,1
"TERMOSTATO THINK RADIO ACUAZONE NO FUNCIONA, SE HA QUEDADO EN BLANCO RADIOTERMOSTATO MONOCROMO AIRZONE THINK BL 32Z ENVIAR UN TERMOSTATO NUEVO",0
NO ENCIENDE AZCE6THINKRB NO ENCIENDE,0
NO FUNCIONA CORRECTAMENTE TERMOSTATO DISTRIBUIDOR INTELIGENTE BLUEFACE 32Z NO FUNCIONA CORRECTAMENTE,0
TERMOSTATO QUE NO FUNCIONA TERMOSTATO AZDI CARA AZUL SOLICITAMOS EL CAMBIO POR UNO NUEVO YA QUE ESTE NO FUNCIONA,0
BLUEFACE NO FUNCIONA. HABLADO POR EL CLIENTE CON AIRZONE. TERMOSTATO AZUL BLUEFACE NO FUNCIONA.,0
SAV Sr. BELLOC 06 44 24 83 66  Desconexiones periódicas que agotan las baterías,0
NO FUNCIONA TERMOSTATO INTELIGENTE TERMOSTATO RADIANT365 INTELIGENTE ZONAS BLANCO FALLA DEL TERMOSTATO,0
Pantalla congelada a pesar del reemplazo de la batería. Termostato Think Radio Blanc La pantalla permanece congelada a pesar del reemplazo de la batería,1
TERMOSTATO BLOQUEADO NO FUNCIONA *CE6 - MONOCROMO CABLE TERMOSTATO AIRZONE PENSAR BL ENVIAR UN TERMOSTATO NUEVO,0
Pantalla negra ya no se muestra Termostato de cara azul Pantalla negra ya no se muestra,1
"TERMOSTATO BLUEFACE NO ACTUA_x000D_
TERMOSTATO THINK RADIO NO ACTUA_x000D_
WEBSERVER CABLE NO ACTUA_x000D_
MOTOR REJILLA INTELIGENTE TRIPLE NO ACTUA TERMOSTATO AZUL NO ACTUA",0
"TERMOSTATO BLUEFACE NO ACTUA_x000D_
TERMOSTATO THINK RADIO NO ACTUA_x000D_
WEBSERVER CABLE NO ACTUA_x000D_
MOTOR REJILLA INTELIGENTE TRIPLE NO ACTUA TERMOSTATO THINK 8Z RADIO NO ACTUA, NO SE CONECTA A LA CENTRAL",0
EL MANDO TERMOSTATO BLUEFACE TIENE LA PANTALLA ESTROPEADA Y SOLO SE VE LA MITAD DE LA DERECHA TERMOSTATO BLUEFACE BLANCO CABLEADO NECESITAMOS UN AZCE6BLUEFACECB NUEVO YA QUE ESTE NO FUNCIONA BIEN LA PANTALLA.,1
"Pantalla defectuosa en el control remoto con cable THINK (AZE6THINKCB - S/N: F00JN2Z) Mando a distancia THINK con cable blanco Pantalla defectuosa_x000D_
Por favor envíenos un producto de reemplazo bajo garantía.",1
EL LIQUIDO DEL TERMOSTATO BLUEFACE SE HA DISUELTO Y CREA MANCHAS TERMOSTATO CABLE INTELIGENTE AIRZONE BLUEFACE BLAN EL LIQUIDO DEL TERMOSTATO BLUEFACE SE HA DISUELTO,1
"EL MANDO SE QUEDA BLOQUEADO, LLAMADA 13555 CABLE THINK 8Z MONOCROMO TTO. CENT. BLANCO EL MANDO SE QUEDA BLOQUEADO, LLAMADA 13555",0
TERMOSTATO BLOQUEADO TERMOSTATO THINK 8Z CABLE EL TERMOSTATO ESTA BLOQUEADO NECESITAMOS REPAREN O REPONGAN,0
EL MANDO NO REACCIONA  EL MANDO NO HACE NADA,0
"Hola,

En una misma instalación tenemos dos mandos Blueface que fallan, uno por hacer mal contacto los pin y el otro por aparecer una línea de luz en el display, ambos los hemos sustituido comprando otro nuevos (por ir rápido cara al cliente). 
Los mandos son: 
Display con rayas: AZCE6BLUEFACECB  -  S/N: F00JZCI
Fallo en los pin: AZCE6BLUEFACECB  -  S/N: F00JZDU BLUEFACE FALLA PANTALLA Display falla, aparecen rayas",1
"Hola,_x000D_
_x000D_
En una misma instalación tenemos dos mandos Blueface que fallan, uno por hacer mal contacto los pin y el otro por aparecer una línea de luz en el display, ambos los hemos sustituido comprando otro nuevos (por ir rápido cara al cliente). _x000D_
Los mandos son: _x000D_
Display con rayas: AZCE6BLUEFACECB  -  S/N: F00JZCI_x000D_
Fallo en los pin: AZCE6BLUEFACECB  -  S/N: F00JZDU BLUEFACE FALLA LOS PIN BLUEFACE LE FALLAN LOS CONTACTOS POR LO QUE A VECES ENTRA EN REINICIO O NO FUNCIONA DIRECTAMENTE",1
"EL TERMOSTATO NO RESPONDE, SE QUEDA LA PANTALLA EN NEGRO Y ESTA AVERIADO. ENVIAR UNO EN GARANTIA A SU DIRECCION EN MARBELLA_x000D_
_x000D_
SE DEVUELVE AVERIADO AZDI6BLUEFACECB EL TERMOSTATO NO RESPONDE, SE QUEDA LA PANTALLA EN NEGRO Y ESTA AVERIADO. ENVIAR UNO EN GARANTIA A SU DIRECCION EN MARBELLA",1
EL TERMOSTATO SE QUEDA EMPARRADO Y NO RESPONDE  EL TERMOSTATO SE QUEDA EMPARRADO Y NO RESPONDE,0
"  EL MANDO A DISTANCIA YA NO RESPONDE, PERMANECE BLOQUEADO",0
"CENTRAL DE ELEMENTOS RADIANTES NO COMUNICA_x000D_
BLUEFACE PANTALLA EN BLANCO_x000D_
BLUEFACE SE BLOQUEA *CE6 - MONOCROMO CABLE TERMOSTATO AIRZONE PENSAR BL ENVIAR UN TERMOSTATO NUEVO",1
"CENTRAL DE ELEMENTOS RADIANTES NO COMUNICA_x000D_
BLUEFACE PANTALLA EN BLANCO_x000D_
BLUEFACE SE BLOQUEA *CE6 - MONOCROMO CABLE TERMOSTATO AIRZONE PENSAR BL ENVIAR UN TERMOSTATO NUEVO",1
"Ver número de billete: 2439_x000D_
_x000D_
Se apaga la pantalla del termostato TERMOSTATO THINK RADIO BLANCO Ver número de billete: 2439_x000D_
_x000D_
Se apaga la pantalla del termostato",1
"Ver número de billete: 2439_x000D_
_x000D_
Se apaga la pantalla del termostato TERMOSTATO IBPRO6 THINK RADIO BLANCO Ver número de billete: 2439_x000D_
_x000D_
Se apaga la pantalla del termostato",1
"Think cable se retroilumina pero no mueve la pantalla TTO. PIENSA EN CABLE BL SE RETROILUMINA LA PANTALLA, PERO NO SE MUEVE LA TINTA",1
"Termostato blueface fuera de servicio TERMOSTATO CARA AZUL El termostato no funciona, nos disparamos y reiniciamos, aparecen 3 puntos pequeños en el termostato y no se vuelve a encender.",0
"AZC3BLUEFECOCSB problema de visualización en el teclado, la pantalla está bloqueada_x000D_
MANDO REXEL 023932008 TERMOSTATO Problema de visualización, el termostato se congela",0
"la pantalla del control remoto está congelada. su control remoto REMOTO La pantalla del control remoto está congelada, el control remoto está roto",0
Al instalarlo se queda pensando y no conecta con las zonas.  Al instalarlo se queda pensando y no conecta con las zonas.,0
"TERMOSTATO LITE BLANCO RADIO. SE AGOTÓ LA PILA, LA LUZ PILOTO SE QUEDA SIEMPRE EN VERDE Y NO SE APAGA. EL CLIENTE FINAL LLAMÓ EL 11-2-2020 Y COMUNICÓ LA INCIDENCIA Y LE INDICARON QUE LO SOLICITÁRAMOS EN GARANTÍA RADIOTERMOSTATO LITE BLANCO TERMOSTATO LITE BLANCO RADIO. SE AGOTÓ LA PILA, LA LUZ PILOTO SE QUEDA SIEMPRE EN VERDE Y NO SE APAGA. EL CLIENTE FINAL LLAMÓ EL 11-2-2020 Y COMUNICÓ LA INCIDENCIA Y LE INDICARON QUE LO SOLICITÁRAMOS EN GARANTÍA",0
"AZCE6BLUEFACECCB_x000D_
F00KWW9_x000D_
Toda la pantalla en blanco con líneas negras y la pantalla se congela. TERMOSTATO CABLEADO BLUEFACE Cara azul, pantalla completamente blanca con líneas negras que bloquean la pantalla.",1
SE QUEDA LA PANTALLA EN BLANCO Y NO FUNCIONA OTT. CARA AZUL CB SE QUEDA LA PANTALLA EN BLANCO Y NO FUNCIONA,1
EL TERMOSTATO SE QUEDA CON LA PANTALLA EN BLANCO. TERMOSTATO AZUL 1 UNIDAD.,1
BLUEFACE NO HACE NADA  BLUEFACE NO FUNCIONA,0
Partida deflectuosa Termostato azul 7 Termostatos Blueface (Partida defectuosa),0
"permanece bloqueado, incluso con el cambio de batería termostato piensa en la radio N° BILLETE 2466",0
NO SE ENCIENDE AUN CON CAMBIO DE BATERÍA termostato piensa en la radio N° DE BOLETO 2700,0
"BLUEFACE SALEN RAYAS POR TODA LA PANTALLA_x000D_
THINK CABLE NO SE VE BIEN LA PARTE INFERIOR_x000D_
THINK RADIO NO FUNCIONA NADA TERMOSTATO DE CABLE INTELIGENTE AIRZONE BLUEFACE NE ENVIAR UNO NUEVO",1
"BLUEFACE SALEN RAYAS POR TODA LA PANTALLA_x000D_
THINK CABLE NO SE VE BIEN LA PARTE INFERIOR_x000D_
THINK RADIO NO FUNCIONA NADA *CE6 - RADIO TERMOSTATO MONOCROMO AIRZONE PENSAR BL ENVIAR UNO NUEVO",1
"BLUEFACE SALEN RAYAS POR TODA LA PANTALLA_x000D_
THINK CABLE NO SE VE BIEN LA PARTE INFERIOR_x000D_
THINK RADIO NO FUNCIONA NADA *CE6 - MONOCROMO CABLE TERMOSTATO AIRZONE PENSAR BL ENVIAR UNO NUEVO",1
"EL TERMOSTATO SE HA QUEDADO CON LA PANTALLA EN AZUL Y NO TERMINA DE ARRANCAR, HAN REINICIADO EL SISTEMA Y NADA, LO CAMBIAN POR OTRO QUE TIENEN EN STOCK Y LO SOLUCIONAN. TERMOSTATO BLUEFACE BLANCO CENTRALIZADO 1 UNIDAD.",1
"TERMOSTATO LITE, FALLO DEL 1º LED DCHO. TEMPERATURA  FALLO EN 1º LED DE TEMPERATURA DERECHO",1
El termostato ya no responde en absoluto a pesar de cambiar las pilas y reprogramar TERMOSTATO El termostato ya no responde en absoluto a pesar del reemplazo y reprogramación de la batería,0
"El pantalla del mando aparece el simbolo de NO BATTERY y no se quita. PIENSA EN RADIO BLANCO PANTALLA THINK SE QUEDA EL ICONO DE \""NO BATTERY\"" INCLUSO SIN PILAS",1
Sin pantalla. Mando a distancia BLUE FACE NEGRO Sin pantalla. NÚMERO DE BOLETO: 2770,1
"Mando Blueface nº serie FOOFZXW se queda en blanco la pantalla._x000D_
Mando Blueface nº serie FOOFZY9 se ve doble la pantalla y falla._x000D_
Mando Blueface nº serie FOOFZYC  se enciende estando en off el mando y se conecta sola la maquina, se ha comprobado descaonectando los otros mandos._x000D_
Mando Blueface nº serie FOOFZXS se queda con el simbolo de (A) en el centro de la pantalla._x000D_
Las rejillas del salon y la habitacion hacen un crujido al cerrarse. MANDO BLUEFACE SE QUEDA EN BLANCO LA PANTALLA.",1
"Mando Blueface nº serie FOOFZXW se queda en blanco la pantalla._x000D_
Mando Blueface nº serie FOOFZY9 se ve doble la pantalla y falla._x000D_
Mando Blueface nº serie FOOFZYC  se enciende estando en off el mando y se conecta sola la maquina, se ha comprobado descaonectando los otros mandos._x000D_
Mando Blueface nº serie FOOFZXS se queda con el simbolo de (A) en el centro de la pantalla._x000D_
Las rejillas del salon y la habitacion hacen un crujido al cerrarse. MANDO BLUEFACE SE VE DOBLE LA PANTALLA  Y FALLA.",1
"Mando Blueface nº serie FOOFZXW se queda en blanco la pantalla._x000D_
Mando Blueface nº serie FOOFZY9 se ve doble la pantalla y falla._x000D_
Mando Blueface nº serie FOOFZYC  se enciende estando en off el mando y se conecta sola la maquina, se ha comprobado descaonectando los otros mandos._x000D_
Mando Blueface nº serie FOOFZXS se queda con el simbolo de (A) en el centro de la pantalla._x000D_
Las rejillas del salon y la habitacion hacen un crujido al cerrarse. MANDO BLUEFACE SE ENCIENDE ESTANDO EN OFF EL MANDO Y SE CONECTA SOLA LA MAQUINA, SE HA COMPROBADO DESCONECTANDO LOS OTROS MANDOS.",1
"Mando Blueface nº serie FOOFZXW se queda en blanco la pantalla._x000D_
Mando Blueface nº serie FOOFZY9 se ve doble la pantalla y falla._x000D_
Mando Blueface nº serie FOOFZYC  se enciende estando en off el mando y se conecta sola la maquina, se ha comprobado descaonectando los otros mandos._x000D_
Mando Blueface nº serie FOOFZXS se queda con el simbolo de (A) en el centro de la pantalla._x000D_
Las rejillas del salon y la habitacion hacen un crujido al cerrarse. MANDO BLUEFACE SE QUEDA CON EL SIMBOLO (A)  EN EL CENTRO DE LA PANTALLA.",1
La pantalla ya no responde a la idea de cambiar. Piensa en el telemando La pantalla ya no responde a la idea de cambiar.,1
La pantalla se queda bloqueada e iluminada CARA AZUL Se queda iluminado y bloqueado,0
"DURANTE LA ACTUALIZACIÓN DEL SISTEMA IP6 DEL SHOWROOM, EL BLUEFACE PERMANECE CONGELADO Y POR LO TANTO FALLA_x000D_
SI PODRÍAN ENVIAR EL EQUIPO A HITACHI HAC H2C EN LA VALETTE DU VAR ​​PARA MI ATENCIÓN SERÍA GENIAL BLUEFACE BLANCO CON CABLE BLUEFACE SE CONGELA AL ACTUALIZAR",0
Creo que el termostato RB ya no enciende (batería nueva) TERMOSTATO THINK RADIO BLANC AIRZONE El termostato no enciende (batería nueva),0
SE HA QUEDADO LA PANCHALLA BLOQUEADA. TENIENDO PILAS O NO SE HA QUEDADO PUESTO LAS IMAGENES. RADIOTERMOSTATO MONOCROMO EL TERMOSTATO SE HA QUEDADO BLOQUEADO . Y SIN TENER PILAS SE HA QUEDADO COMO SI ESTUVIERA ENCENCIDO,1
PANTALLA DE CONTROL REMOTO HS TELECOMANDO PIENSA PANTALLA DE CONTROL REMOTO HS,1
LLEVA UN TIEMPO FUNCIONANDO MAL HASTA BLOQUEARSE OTT. CARA AZUL CB LLEVA UN TIEMPO FUNCIONANDO MAL HASTA BLOQUEARSE,0
SEGUN INDICACIONES DEL CLIENTE: La imagen del termostato se ve muy floja y la temperatura no deja que la subas. TERMOSTATO DE ZONA PL. NECESITAMOS REPARACION  EN GARANTIA O REPOSICION DEL MISMO.,1
"BF SE HA QUEDADO CON PANTALLA CONGELADA OTT. CARA AZUL BL (AZCE6) PANTALLA CONGELADA, ojo enviar dos. el otro s/n es: F00FLGP, NO RESPONDE EL TACTIL NINGUNO DE LOS DOS",0
HAY UNA LISTA VERDE EN LA PANTALLA TERMOSTATO LISTA VERDE NO DISPLAY,1
EL DISPLAY DE TEMPERATURA DEL TERMOSTATO SALE UNA RALLA Y NO SE VE LA NUMERACION TERMOSTATO ENVIEN TERMOSTATO SUSTITUCION EN GARANTIA,1
EL DISPLAY DE TEMPERATURA DEL TERMOSTATO SALE UNA RALLA Y NO SE VE LA NUMERACION TERMOSTATO ENVIEN TERMOSTATO SUSTITUCION EN GARANTIA,1
Blueface defectuoso Termostato Blueface pantalla azul,1
el termostato cuando se inicia se queda en blanco y no termina de funcionar  el termostato cuando se inicia se queda en blanco y no termina de funcionar,0
parece que la pantalla no responde TERMOSTATO AZUL TERMOSTATO QUE NO FUNCIONA CORRECTAMENTE,0
"TERMOSTATO BLUEFACE  NO ACTUA_x000D_
WEBSERVER CABLE  NO ACTUA TERMOSTATO AZUL NO ACTUA",0
EL TERMOSTATO NO SE ENCIENDE TERMOSTATO PIENSA EL TERMOSTATO NO SE ENCIENDE,0
"Termostato dist. inteligente color Airzone Blueface 32Z se apaga la pantalla, no funciona la función táctil y se bloquea. TERMOSTATO DIST. INTELIGENTE COLOR SE APAGA LA PANTALLA, NO VA LA FUNCIÓN TACTIL Y ESTÁ BLOQUEADO",0
"FALLA TERmOSTATO AZDI6BLUEFACECB, F00GGQK. NO ENCIENDE. SE RUEGA ENVIO DE UNO EN GARANTIA A MI DIRECCIÓN HABITUAL AZDI6BLUEFACECB FALLA TERmOSTATO AZDI6BLUEFACECB, F00GGQK. NO ENCIENDE. SE RUEGA ENVÍO DE UNO EN GARANTIA A MI DIRECCIÓN HABITUAL",0
"FALLA 2 TERmOSTATO AZDI6BLUEFACECB, F00I2TN, F00IFDA. NO ENCIENDE. SE RUEGA ENVIO  EN GARANTIA A MI DIRECCIÓN HABITUAL AZDI6BLUEFACECB FALLA 2 TERmOSTATO AZDI6BLUEFACECB, F00I2TN, F00IFDA. NO ENCIENDE. SE RUEGA ENVIO  EN GARANTIA A MI DIRECCIÓN HABITUAL",0
"FALLA 2 TERmOSTATO AZDI6BLUEFACECB, F00I2TN, F00IFDA. NO ENCIENDE. SE RUEGA ENVIO  EN GARANTIA A MI DIRECCIÓN HABITUAL AZDI6BLUEFACECB FALLA 2 TERmOSTATO AZDI6BLUEFACECB, F00I2TN, F00IFDA. NO ENCIENDE. SE RUEGA ENVIO EN GARANTIA A MI DIRECCIÓN HABITUAL",0
Reso Flexa 3 y Blueface. CARA AZUL no funciona display,1
"termostato bluefacecb azce6 averiado, la pantalla no enciende. Cambiado por otro en la misma zna y va perfecto._x000D_
_x000D_
_x000D_
enviar uno azce6bluefacecb en garantia a su dirección habitual , lo antes posible AZCE6BLUEFACECB termostato bluefacecb azce6 averiado, la pantalla no enciende. Cambiado por otro en la misma zna y va perfecto._x000D_
_x000D_
_x000D_
enviar uno azce6bluefacecb en garantia a su dirección habitual , lo antes POSIBLE",1
EL TERMOSTATO BLUEFACE NO SE ENCIENDE TERMOSTATO DE CABLE INTELIGENTE AIRZONE BLUEFACE BL 3 15668. ENVIAR UN TERMOSTATO NUEVO,0
"POR FAVOR, ENVIAR EN GARANTIA 1 AZCE6THINKRB F00MZN7  A LA DIRECCION DEL CLIENTE._x000D_
_x000D_
_x000D_
HA ABIERTO UNO DE SU CASA, Y NO HACE NADA. SE LE HA CAMBIADO LA PILA Y NADA. AZCE6THINKRB POR FAVOR, ENVIAR EN GARANTIA 1 AZCE6THINKRB F00MZN7  A LA DIRECCION DEL CLIENTE._x000D_
_x000D_
_x000D_
HA ABIERTO UNO DE SU CASA, Y NO HACE NADA. SE LE HA CAMBIADO LA PILA Y NADA.",0
pantalla se le queda en rojo y no ilumina TTO CENT INTELIG COLOR AIRZONE BLUEFACE 8Z BLANCO la pantalla se le queda en rojo y no ilumina.,1
"El termostato deja de funcionar poniendo su pantalla en negro al cabo de unos 5 minutos de arrancar el sistema, hemos intercambiado el termostato con otros para comprobar que no fuera el módulo. TERMOSTATO AZUL EL TERMOSTATO DEJA DE FUNCIONAR A LOS 5 MINUTOS (APROX) DE ARRANCAR, PONIENDO SU PANTALLA EN NEGROREQUERIMOS SUSTITUCIÓN DE TERMOSTATOSOY SERGIO, TCP DE BARCELONA, LE HE PEDIDO AL INSTALADOR QUE INTERCAMBIE EL TERMOSTATO CON OTROS PARA VER SI EL",1
LÍNEA VERTICAL EN LA PANTALLA TERMOSTATO BLUEFACE BLANCO LÍNEA VERTICAL EN LA PANTALLA,1
PROBLEMA DE PANTALLA TERMOSTATO AZCE6THINKCB PROBLEMA DE PANTALLA,1
El termostato Blueface HS no enciende termostato cara azul no se enciende,0
LA PANTALLA ESTÁ BLOQUEADA TERMOSTATO AZCE6THINKRB LA PANTALLA SE BLOQUEA,0
se queda la pantalla del termostato en rojo TERMOSTATO AZUL SE QUEDA LA PANTALLA BLOQUEADA. EN ROJO,1
"El mando no llega a encender,hace el logo de AIRZONE pero cuando va a encender hace un destello y se para._x000D_
HOTLINE_x000D_
15945 TERMOSTATO AZUL El mando no llega a encender,hace el logo de AIRZONE pero cuando va a encender hace un destello y se para.",0
La pantalla Blueface se reinicia sola frecuentemente y en ocasiones al reiniciar se queda bloqueada Pantalla Blueface AZRA6BLUEFACECB La pantalla Blueface se reinicia sola frecuentemente y en ocasiones al reiniciar se queda bloqueada,0
MANDO QUE NO SE ENCIENDE MANDO BLUEFACE MANDO QUE NO SE ENCIENDE,0
el termostato no enciende termostato el termostato está defectuoso no enciende,0
"BLUEFACE no funciona, salen símbolos redondos y rayas a colores. CARA AZUL No funciona, salen símbolos redondos y rayas a colores.",1
Se ha soltado la pantalla de un termostato BlueFace. F008QJ1 Termostato BlueFace Se ha despegado la pantalla.,1
primero se desprendía el cristal de la pantalla y posteriormente dejó de funcionar CABLE TIPO THINK BLANCO COD. AZCE6THINKCB primero se desprendía el cristal de la pantalla y posteriormente dejó de funcionar,1
"TERMOSTATO FIGE 
HIGROMETRIA BLOQUEE A 100% 
TEMPERATURA NO MODIFICABLE TERMOSTATO THINK RADIO BLANCO TERMOSTATO FIGE 
HIGROMETRIA BLOQUEE A 100% 
TEMPERATURA NO MODIFICABLE",0
problema de visualización (pantalla negra) EL BLANCO CARA AZUL PROBLEMA DE PANTALLA,1
"en el pack PTBTF5B el termostato BLUEFACE no funciona correctamente, se enciende, se apaga y se reinicia la instalación,_x000D_
no funciona correctamente termostato cara azul pedir CEDEO K277714 _x000D_
albarán de entrega FA/21907568_x000D_
el termostato está defectuoso, se apaga, se enciende y se reinicia, lo que mete la instalación en un decantador_x000D_
ver siguiente ticket número 4720",0
